"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"114","7","BY4743","YPD + CLS80 Day 9 SC 2% D Replicate A","diploid","9.86093784779598","20","-1.36434027574381","20.2857142857143","-24.7671495462967","0.00755716226095829","0.115701939491398","-26.1314898220405","22.4449637262623","2.14090288450935"
"115","40","BY4742","YPD","MATalpha","10.9607399619196","22.5","3.2323557622162","22.625","-153.057780100483","0.0145363253357556","0.0621113396516617","-149.825424338266","25.622972596848","2.23428058452543"
"116","60","BR2200","YPD","MATa","10.2832621393208","27","2.2969320658755","28.0166666666667","-226.31136470284","0.0049715117151042","0.0903810320024773","-224.014432636964","31.3806787782874","3.00296860656222"
"117","40","BR2200","YPD","MATa","9.97933762767747","24","4.11828765485518","26.05","-151.689595592089","0.00812476590079357","0.0775661770711051","-147.571307937233","29.2609078214168","2.82951950257129"
"118","40","lf960","YPD","MATalpha","11.3677174489868","22.5","4.69083438304722","25.575","-156.070078311984","0.0114128724076063","0.061437530029242","-151.379243928937","28.9456359341738","2.4308731543492"
"119","2","BY4743","YPD + CLS80 Day 16 SC 2% D Replicate A","diploid","9.89949493661167","32","0.0116952333475524","32","-6.7097985379673","0.000417596871811351","0.169561454714819","-6.69810330461975","34.8551417077571","5.3956235296848"
"120","40","BR2200","YPD","MATa","7.02668904779192","20","2.85720273598997","21.6","-136.784590211606","0.00513806800817885","0.132012194326399","-133.927387475616","24.0703101067562","3.40893719156518"
"121","40","BY4742","YPD","MATalpha","9.02986497897181","24","2.20348782334992","25.5","-145.79267461322","0.0049685409580856","0.104306358939098","-143.58918678987","28.5621214506215","3.16143358193452"
"122","5","BY4743","YPD + CLS80 Day 23 SC 2% D Replicate A","diploid","20.5109726731815","2","0.795871721097512","15.8","-18.6741762910213","0.0870729156598038","-0.0185959287792156","-17.8783045699238","11.485026668752","0.642529364271091"
"123","60","BY4742","YPD","MATalpha","7.68994868217359","17","5.05198632045875","17.9833333333333","-210.734003566411","0.0148179234059109","0.0945144000444501","-205.682017245952","20.2588177222809","2.49624525064061"
"124","39","BY4742","YPD","MATalpha","9.17074501349613","12","2.18753116727234","14.2820512820513","-137.982660558092","0.0369445026955703","0.0532388958863035","-135.79512939082","16.0931072195844","1.67799152777895"
"125","40","BY4741","YPD","MATa","10.9174055338136","19","-2.03500391002555","19.8","-149.423474817891","0.0165762013920581","0.0688989946502916","-151.458478727917","22.0904589960879","1.80985522437165"
"126","40","BR2200","YPD","MATa","10.0324793060161","23","-2.45205012430858","22.375","-146.101423615295","0.00716801408117169","0.102149321726125","-148.553473739604","25.1752316603459","2.422725085544"
"127","40","BR2200","YPD","MATa","7.05563967915392","26","-0.104532901685417","24.25","-133.512187836621","0.00193869138032843","0.161152086225762","-133.616720738306","26.7897046810309","4.09145761757834"
"128","21",NA,NA,NA,NA,NA,"-0.156977714367301",NA,"-64.0075059136537","0.000565134833306462","0.194046727327743","-64.164483628021","29.5984451201563","5.3466927337105"
